BirdID,MG_result,SP_result,LPDV_result,REV_result
254,1,0,1,0
256,1,0,0,0
258,1,0,0,0
259,1,0,1,0
260,0,0,1,0
261,1,1,1,0
265,1,0,1,0
266,1,0,1,0
272,NA,NA,1,0
275,1,0,1,0
280,1,0,1,0
283,1,0,0,0
286,1,0,1,0
351,1,0,1,0
352,1,0,1,0
353,1,0,1,1
354,1,0,1,0
355,1,0,0,0
356,0,0,1,0
357,1,0,1,0
358,1,0,1,0
359,1,0,1,0
360,1,0,1,0
361,1,0,1,0
362,1,0,1,0
363,1,0,1,0
364,1,0,1,0
365,1,1,0,0
366,1,0,1,0
367,1,0,1,0
368,0,1,1,0
369,1,0,1,0
370,1,1,1,0
371,0,0,1,0
372,1,0,0,0
373,0,0,1,0
374,1,0,0,0
375,NA,NA,0,0
376,1,0,0,0
377,1,0,0,0
378,1,0,0,0
379,0,0,1,1
380,1,0,0,0
381,0,0,1,1
382,1,0,1,1
383,1,0,0,0
384,1,0,0,0
385,1,0,1,0
386,1,0,0,0
387,0,0,1,0
388,1,0,0,0
389,1,0,1,0
390,0,0,1,0
391,1,0,1,0
392,1,0,1,0
393,0,0,0,0
394,1,1,1,0
395,1,0,1,0
396,0,0,1,0
397,1,0,0,0
398,0,0,1,0
399,0,0,1,0
400,1,0,1,0
401,1,0,1,0
402,0,0,1,0
403,1,0,1,1
404,1,0,0,0
405,1,0,1,0
406,0,0,1,1
407,NA,NA,1,0
408,1,0,1,1
409,1,0,1,1
410,1,0,1,0
411,0,0,1,0
412,0,1,1,0
413,0,0,1,0
414,1,0,0,0
415,NA,NA,0,1
416,0,0,1,0
417,0,0,0,1
418,1,0,1,0
419,NA,NA,1,0
420,0,1,0,0
421,1,0,1,0
422,NA,NA,1,0
423,1,0,0,0
425,NA,NA,0,0
426,NA,NA,1,0
427,0,0,0,1
428,NA,NA,1,0
429,NA,NA,1,0
430,NA,NA,1,0
431,NA,NA,0,0
432,NA,NA,1,0
433,NA,NA,1,1
434,NA,NA,1,0
435,1,0,1,0
436,0,0,0,0
437,1,0,1,0
438,NA,NA,1,0
439,1,0,1,0
440,1,0,1,0
441,1,0,1,0
442,1,0,1,0
443,NA,NA,1,0
444,1,0,1,0
445,NA,NA,1,0
446,NA,NA,1,0
447,1,0,1,0
448,1,0,1,0
449,NA,NA,0,0
450,NA,NA,1,1
451,1,0,1,0
452,0,0,1,0
453,1,0,0,0
454,1,0,1,1
455,1,0,1,1
456,1,0,1,1
457,1,0,1,0
458,NA,NA,0,0
459,NA,NA,1,0
460,0,0,0,1
461,NA,NA,1,0
462,0,0,1,1
463,0,0,0,0
464,1,0,0,0
465,1,0,0,0
466,1,0,0,1
467,NA,NA,0,1
468,NA,NA,1,0
469,0,0,0,0
470,NA,NA,1,0
471,NA,NA,0,0
472,NA,NA,0,0
473,NA,NA,1,0
474,1,0,1,0
475,0,0,1,0
476,NA,NA,1,0
477,NA,NA,1,0
478,1,0,1,0
480,NA,NA,0,0
515,1,0,0,0
516,1,0,1,1
522,1,0,1,0
523,0,0,1,1
524,0,0,0,0
532,0,0,1,0
535,0,0,0,1
536,1,0,0,0
545,0,0,0,1
546,1,0,1,1
547,NA,NA,0,1
548,NA,NA,1,1
549,1,0,0,1
556,NA,NA,1,1
557,NA,NA,0,0
558,NA,NA,0,0
559,NA,NA,0,1
560,NA,NA,0,0
561,NA,NA,1,0
562,NA,NA,1,0
563,NA,NA,0,0
564,NA,NA,1,0
565,NA,NA,1,0
566,NA,NA,1,0
567,NA,NA,0,1
568,NA,NA,1,0
569,NA,NA,1,0
570,NA,NA,1,0
571,NA,NA,0,0
572,NA,NA,0,0
573,NA,NA,1,0
574,1,0,1,1
575,1,0,0,1
576,NA,NA,0,0
577,NA,NA,0,0
578,NA,NA,0,0
580,NA,NA,0,0
581,NA,NA,1,0
582,NA,NA,0,0
583,NA,NA,0,0
585,NA,NA,0,0
586,NA,NA,1,0
587,NA,NA,1,0
588,NA,NA,1,0
616,NA,NA,0,0
617,NA,NA,0,0
618,NA,NA,0,0
619,NA,NA,0,1
625,NA,NA,1,0
626,NA,NA,1,0
633,NA,NA,1,0
634,NA,NA,1,0
635,NA,NA,0,0
636,0,0,1,0
637,0,0,0,0
638,0,0,0,0
639,NA,NA,0,0
640,0,0,0,1
641,0,0,0,0
642,NA,NA,0,0
643,NA,NA,0,0
644,1,0,0,0
645,0,0,0,0
646,1,0,0,0
647,0,0,0,0
658,NA,NA,1,0
661,NA,NA,1,0
664,NA,NA,1,0
665,NA,NA,1,0
666,NA,NA,1,0
667,NA,NA,0,0
668,NA,NA,0,0
669,NA,NA,0,0
670,NA,NA,1,0
671,NA,NA,1,0
672,NA,NA,1,0
673,NA,NA,1,0
674,NA,NA,1,0
675,NA,NA,1,0
677,NA,NA,1,0
678,NA,NA,1,0
681,NA,NA,1,0
682,NA,NA,1,0
683,NA,NA,1,0
684,NA,NA,0,0
685,NA,NA,0,0
686,NA,NA,0,0
687,NA,NA,0,0
688,NA,NA,1,0
689,NA,NA,1,0
690,NA,NA,1,0
691,NA,NA,0,0
692,NA,NA,0,0
693,NA,NA,0,0
694,NA,NA,1,0
695,NA,NA,0,0
696,NA,NA,0,0
697,NA,NA,1,0
701,NA,NA,0,0
702,NA,NA,1,0
703,NA,NA,0,1
704,NA,NA,0,1
705,NA,NA,0,0
706,NA,NA,1,0
707,NA,NA,1,0
708,NA,NA,0,0
709,NA,NA,0,0
710,NA,NA,0,0
711,NA,NA,0,0
712,NA,NA,0,0
713,NA,NA,0,0
714,NA,NA,1,0
716,NA,NA,1,0
717,NA,NA,0,0
718,NA,NA,0,0
719,NA,NA,1,0
720,NA,NA,1,0
721,NA,NA,0,0
722,NA,NA,0,0
723,NA,NA,0,0
726,NA,NA,0,0
751,NA,NA,1,0
752,NA,NA,1,0
754,NA,NA,1,0
782,NA,NA,1,0
783,NA,NA,0,0
784,NA,NA,0,0
785,NA,NA,0,0
786,NA,NA,0,0
787,NA,NA,0,0
824,1,0,0,0
825,NA,NA,1,1
826,1,0,1,0
827,1,0,0,1
831,NA,NA,0,0
832,1,0,1,0
833,1,0,0,0
834,NA,NA,0,0
835,1,0,1,1
836,1,0,1,0
837,NA,NA,0,0
838,1,0,0,0
839,0,0,1,0
840,1,0,0,0
841,0,0,1,1
842,0,0,0,0
843,NA,NA,1,0
844,1,0,1,0
845,1,0,0,1
846,1,0,1,1
847,1,0,1,1
848,1,0,1,1
849,NA,NA,1,0
850,0,0,1,0
876,NA,NA,1,0
885,NA,NA,0,0
886,NA,NA,0,0
887,NA,NA,0,0
888,NA,NA,1,0
889,NA,NA,1,0
890,NA,NA,1,0
891,NA,NA,0,0
892,NA,NA,0,0
894,NA,NA,1,0
895,NA,NA,0,0
901,1,0,1,1
902,NA,NA,1,0
903,1,0,0,1
904,NA,NA,1,0
905,NA,NA,1,0
906,1,0,1,1
907,NA,NA,1,0
911,NA,NA,0,0
925,NA,NA,1,0
931,NA,NA,0,0
932,NA,NA,0,0
934,NA,NA,0,0
936,NA,NA,1,0
937,NA,NA,0,0
938,NA,NA,0,0
939,NA,NA,0,0
940,NA,NA,1,0
941,NA,NA,0,0
942,NA,NA,1,0
943,NA,NA,0,0
944,NA,NA,0,0
945,NA,NA,1,0
946,NA,NA,1,0
947,NA,NA,1,0
948,NA,NA,0,0
949,NA,NA,1,0
950,NA,NA,1,0
965,NA,NA,1,0
966,NA,NA,1,0
967,NA,NA,0,0
968,NA,NA,0,0
969,NA,NA,1,1
970,NA,NA,1,0
971,NA,NA,1,0
972,NA,NA,1,0
973,NA,NA,1,0
975,NA,NA,1,0
976,NA,NA,0,0
977,NA,NA,1,0
978,NA,NA,1,0
979,NA,NA,0,1
980,NA,NA,0,0
981,NA,NA,0,0
982,NA,NA,1,0
983,NA,NA,1,0
984,NA,NA,1,0
985,NA,NA,1,0
986,NA,NA,0,0
987,NA,NA,1,0
988,NA,NA,0,0
989,NA,NA,1,0
990,NA,NA,1,0
991,NA,NA,0,0
992,NA,NA,1,0
993,NA,NA,1,0
994,NA,NA,0,0
997,NA,NA,0,0
998,NA,NA,0,0
999,NA,NA,1,0
