"Bird.ID","FirstFound","LastPresent","LastChecked","Fate","Freq","YearDay","Study.Area","Location","Trans.Type","Sex","TurkAge","Weight","Hematoma","Pat.Tag","HandTime","MG","LPDV","REV","mtCDy","avgmtWk","pcpCDy","avgpcpWk"
367,1,1,19,1,1,81,"S","Rust Farm","Back","F","A",11,0,"N",42,1,1,0,-3.94449996948242,-4.17105354794434,0.400624995934777,0.170124998831722
369,1,30,30,0,1,81,"S","Rust Farm","Back","F","A",11,0,"N",55,1,1,0,-3.94449996948242,-4.17105354794434,0.400624995934777,0.170124998831722
372,1,30,30,0,1,81,"S","Rust Farm","Back","F","J",8,0,"N",75,1,0,0,-3.94449996948242,-4.17105354794434,0.400624995934777,0.170124998831722
373,1,30,30,0,1,81,"S","Rust Farm","Back","F","A",9,1,"N",85,0,1,0,-3.94449996948242,-4.17105354794434,0.400624995934777,0.170124998831722
375,1,30,30,0,1,1,"NC","Perry","Back","F","J",8,1,"N",34,0.74468085106383,0,0,-16.2678571428571,-9.09059185884437,0,2.61412244544802
376,1,18,20,1,1,1,"NC","Perry","Back","F","J",6,0,"N",46,1,0,0,-16.2678571428571,-9.09059185884437,0,2.61412244544802
377,1,18,20,1,1,1,"NC","Perry","Back","F","J",7,1,"N",65,1,0,0,-16.2678571428571,-9.09059185884437,0,2.61412244544802
378,1,30,30,0,1,15,"S","Gray Fire Department","Back","F","J",7.5,0,"N",30,1,0,0,-11.1670000893729,-15.3609184732243,0,5.17530614502576
379,1,1,9,1,1,15,"S","Gray Fire Department","Back","F","A",9.5,0,"N",45,0,1,1,-11.1670000893729,-15.3609184732243,0,5.17530614502576
380,1,30,30,0,1,15,"S","Gray Fire Department","Back","F","J",8,0,"N",65,1,0,0,-11.1670000893729,-15.3609184732243,0,5.17530614502576
381,1,30,30,0,1,15,"S","Gray Fire Department","Back","F","A",10.5,0,"N",74,0,1,1,-11.1670000893729,-15.3609184732243,0,5.17530614502576
382,1,30,30,0,1,15,"S","Gray Fire Department","Back","F","A",10.5,0,"N",83,1,1,1,-11.1670000893729,-15.3609184732243,0,5.17530614502576
383,1,1,9,1,1,15,"S","Gray Fire Department","Back","F","J",10,0,"N",98,1,0,0,-11.1670000893729,-15.3609184732243,0,5.17530614502576
384,1,1,9,1,1,15,"S","Gray Fire Department","Back","F","J",8.5,0,"N",108,1,0,0,-11.1670000893729,-15.3609184732243,0,5.17530614502576
386,1,5,9,1,1,58,"NC","Emera","Back","F","A",10,0,"N",63,1,0,0,-19.0591665903727,-13.0599285647983,0,2.46702383744663
387,1,30,30,0,1,16,"NC","Roger's Farm","Back","F","A",10,1,"N",60,0,1,0,-17.022125005722,-17.0235891682761,0,7.42435714043677
388,1,14,16,1,1,16,"NC","Roger's Farm","Back","F","J",7.5,1,"N",68,1,0,0,-17.022125005722,-17.0235891682761,0,7.42435714043677
389,1,30,30,0,1,16,"NC","Roger's Farm","Back","F","J",7.5,1,"N",82,1,1,0,-17.022125005722,-17.0235891682761,0,7.42435714043677
391,1,6,9,1,1,16,"NC","Roger's Farm","Back","F","A",9,1,"N",104,1,1,0,-17.022125005722,-17.0235891682761,0,7.42435714043677
392,1,30,30,0,1,16,"NC","Roger's Farm","Back","F","A",10,0,"N",126,1,1,0,-17.022125005722,-17.0235891682761,0,7.42435714043677
393,1,30,30,0,1,16,"NC","Roger's Farm","Back","F","J",8.5,1,"N",135,0,0,0,-17.022125005722,-17.0235891682761,0,7.42435714043677
394,1,30,30,0,1,16,"NC","Roger's Farm","Back","F","J",8,0,"N",142,1,1,0,-17.022125005722,-17.0235891682761,0,7.42435714043677
395,1,30,30,0,1,16,"NC","Roger's Farm","Back","F","A",10.5,1,"N",151,1,1,0,-17.022125005722,-17.0235891682761,0,7.42435714043677
396,1,30,30,0,1,16,"NC","Roger's Farm","Back","F","A",10,0,"N",176,0,1,0,-17.022125005722,-17.0235891682761,0,7.42435714043677
397,1,30,30,0,1,16,"NC","Roger's Farm","Back","F","J",8,1,"N",184,1,0,0,-17.022125005722,-17.0235891682761,0,7.42435714043677
398,1,30,30,0,1,25,"NC","Sewall","Back","F","A",9.5,1,"N",40,0,1,0,-10.6346667607625,-16.1671430042812,0,2.30757144306387
399,1,30,30,0,1,25,"NC","Sewall","Back","F","A",10,1,"N",45,0,1,0,-10.6346667607625,-16.1671430042812,0,2.30757144306387
400,1,1,3,1,1,25,"NC","Sewall","Back","F","A",9.5,1,"N",54,1,1,0,-10.6346667607625,-16.1671430042812,0,2.30757144306387
401,1,30,30,0,1,25,"NC","Sewall","Back","F","A",10,0,"N",60,1,1,0,-10.6346667607625,-16.1671430042812,0,2.30757144306387
402,1,30,30,0,1,25,"NC","Sewall","Back","F","A",10,0,"N",66,0,1,0,-10.6346667607625,-16.1671430042812,0,2.30757144306387
403,1,30,30,0,1,25,"NC","Sewall","Back","F","A",10,1,"N",73,1,1,1,-10.6346667607625,-16.1671430042812,0,2.30757144306387
404,1,30,30,0,1,25,"NC","Sewall","Back","F","J",7.5,1,"N",82,1,0,0,-10.6346667607625,-16.1671430042812,0,2.30757144306387
405,1,30,30,0,1,25,"NC","Sewall","Back","F","A",11,1,"N",88,1,1,0,-10.6346667607625,-16.1671430042812,0,2.30757144306387
406,1,30,30,0,1,25,"NC","Sewall","Back","F","A",10.5,0,"N",95,0,1,1,-10.6346667607625,-16.1671430042812,0,2.30757144306387
407,1,30,30,0,1,36,"NW","Brad St","Neck","F","A",9,1,"N",45,0.74468085106383,1,0,-8.55116669336955,-11.0489524319058,0,0.796499998796554
408,1,30,30,0,1,36,"NW","Brad St","Back","F","J",8,1,"N",54,1,1,1,-8.55116669336955,-11.0489524319058,0,0.796499998796554
409,1,30,30,0,1,36,"NW","Brad St","Back","F","J",7,1,"N",59,1,1,1,-8.55116669336955,-11.0489524319058,0,0.796499998796554
410,1,30,30,0,1,36,"NW","Brad St","Back","F","A",8,1,"N",66,1,1,0,-8.55116669336955,-11.0489524319058,0,0.796499998796554
411,1,30,30,0,1,36,"NW","Brad St","Back","F","A",8,1,"N",73,0,1,0,-8.55116669336955,-11.0489524319058,0,0.796499998796554
412,1,30,30,0,1,36,"NW","Brad St","Back","F","A",9,0,"N",77,0,1,0,-8.55116669336955,-11.0489524319058,0,0.796499998796554
413,1,10,15,1,1,36,"NW","Brad St","Back","F","A",7.5,1,"N",87,0,1,0,-8.55116669336955,-11.0489524319058,0,0.796499998796554
414,1,30,30,0,1,36,"NW","Brad St","Neck","F","J",7.5,0,"N",99,1,0,0,-8.55116669336955,-11.0489524319058,0,0.796499998796554
415,1,30,30,0,1,36,"NW","Brad St","Back","F","A",8,1,"N",103,0.74468085106383,0,1,-8.55116669336955,-11.0489524319058,0,0.796499998796554
416,1,30,30,0,1,36,"NW","Brad St","Back","F","J",7.5,1,"N",111,0,1,0,-8.55116669336955,-11.0489524319058,0,0.796499998796554
417,1,30,30,0,1,36,"NW","Brad St","Back","F","J",6.5,0,"N",115,0,0,1,-8.55116669336955,-11.0489524319058,0,0.796499998796554
418,1,2,5,1,1,37,"NE","Euguly","Back","F","A",11,0,"N",30,1,1,0,-7.94683337211609,-11.5259285938172,2.91316668192546,3.92926193135125
419,1,5,12,1,1,37,"NE","Euguly","Back","F","J",5,1,"N",41,0.74468085106383,1,0,-7.94683337211609,-11.5259285938172,2.91316668192546,3.92926193135125
420,1,30,30,0,1,37,"NE","Euguly","Back","F","A",10,1,"N",50,0,0,0,-7.94683337211609,-11.5259285938172,2.91316668192546,3.92926193135125
421,1,19,27,1,1,37,"NE","Euguly","Back","F","A",9,1,"N",59,1,1,0,-7.94683337211609,-11.5259285938172,2.91316668192546,3.92926193135125
422,1,30,30,0,1,37,"NE","Euguly","Neck","F","A",9.5,1,"N",68,0.74468085106383,1,0,-7.94683337211609,-11.5259285938172,2.91316668192546,3.92926193135125
423,1,30,30,0,1,37,"NE","Euguly","Back","F","A",9,1,"N",77,1,0,0,-7.94683337211609,-11.5259285938172,2.91316668192546,3.92926193135125
424,1,30,30,0,1,58,"NC","Emera","Neck","F","J",7.5,0,"N",63,0.74468085106383,0.564593301435407,0.172248803827751,-19.0591665903727,-13.0599285647983,0,2.46702383744663
425,1,30,30,0,1,58,"NC","Emera","Back","F","A",10,0,"N",75,0.74468085106383,0,0,-19.0591665903727,-13.0599285647983,0,2.46702383744663
426,1,30,30,0,1,58,"NC","Emera","Back","F","A",9.5,0,"N",75,0.74468085106383,1,0,-19.0591665903727,-13.0599285647983,0,2.46702383744663
427,1,2,5,1,1,58,"NC","Emera","Back","F","J",8,0,"N",90,0,0,1,-19.0591665903727,-13.0599285647983,0,2.46702383744663
428,1,12,14,1,1,58,"NC","Emera","Back","F","A",10,0,"N",90,0.74468085106383,1,0,-19.0591665903727,-13.0599285647983,0,2.46702383744663
429,1,9,19,1,1,58,"NC","Emera","Neck","F","A",9,0,"N",105,0.74468085106383,1,0,-19.0591665903727,-13.0599285647983,0,2.46702383744663
430,1,30,30,0,1,58,"NC","Emera","Neck","F","A",9,0,"N",105,0.74468085106383,1,0,-19.0591665903727,-13.0599285647983,0,2.46702383744663
431,1,9,12,1,1,58,"NC","Emera","Back","F","J",7.5,0,"N",124,0.74468085106383,0,0,-19.0591665903727,-13.0599285647983,0,2.46702383744663
432,1,2,5,1,1,58,"NC","Emera","Back","F","J",7,0,"N",124,0.74468085106383,1,0,-19.0591665903727,-13.0599285647983,0,2.46702383744663
433,1,2,5,1,1,58,"NC","Emera","Back","F","A",9,0,"N",124,0.74468085106383,1,1,-19.0591665903727,-13.0599285647983,0,2.46702383744663
434,1,30,30,0,1,70,"NE","Parker","Back","F","A",7,1,"N",61,0.74468085106383,1,0,-4.24942854472569,-5.43189794190076,0.0942857164024774,0.346285716378681
435,1,30,30,0,1,70,"NE","Parker","Back","F","A",9.5,1,"N",80,1,1,0,-4.24942854472569,-5.43189794190076,0.0942857164024774,0.346285716378681
436,1,30,30,0,1,70,"NE","Parker","Back","F","J",5.5,0,"N",88,0,0,0,-4.24942854472569,-5.43189794190076,0.0942857164024774,0.346285716378681
437,1,7,11,1,1,70,"NE","Parker","Neck","F","J",6,1,"N",96,1,1,0,-4.24942854472569,-5.43189794190076,0.0942857164024774,0.346285716378681
438,1,30,30,0,1,70,"NE","Parker","Back","F","A",8.5,1,"N",105,0.74468085106383,1,0,-4.24942854472569,-5.43189794190076,0.0942857164024774,0.346285716378681
439,1,30,30,0,1,70,"NE","Parker","Neck","F","J",6,1,"N",113,1,1,0,-4.24942854472569,-5.43189794190076,0.0942857164024774,0.346285716378681
440,1,30,30,0,1,70,"NE","Parker","Neck","F","A",7,0,"N",119,1,1,0,-4.24942854472569,-5.43189794190076,0.0942857164024774,0.346285716378681
441,1,30,30,0,1,70,"NE","Parker","Back","F","J",7.5,0,"N",135,1,1,0,-4.24942854472569,-5.43189794190076,0.0942857164024774,0.346285716378681
442,1,30,30,0,1,70,"NE","Parker","Neck","F","A",8,0,"N",145,1,1,0,-4.24942854472569,-5.43189794190076,0.0942857164024774,0.346285716378681
443,1,19,29,1,1,72,"NC","Davis Oil","Back","F","A",9,1,"N",50,0.74468085106383,1,0,-5.34149996439616,-5.91549999089468,0,0.27295238063449
444,1,30,30,0,1,72,"NC","Davis Oil","Back","F","A",9.5,0,"N",57,1,1,0,-5.34149996439616,-5.91549999089468,0,0.27295238063449
445,1,30,30,0,1,72,"NC","Davis Oil","Neck","F","A",11,1,"N",67,0.74468085106383,1,0,-5.34149996439616,-5.91549999089468,0,0.27295238063449
446,1,30,30,0,1,72,"NC","Davis Oil","Back","F","A",10,1,"N",97,0.74468085106383,1,0,-5.34149996439616,-5.91549999089468,0,0.27295238063449
447,1,30,30,0,1,72,"NC","Davis Oil","Back","F","A",10,0,"N",114,1,1,0,-5.34149996439616,-5.91549999089468,0,0.27295238063449
449,1,30,30,0,1,70,"NE","Parker","Back","F","A",8,0,"N",128,0.74468085106383,0,0,-4.24942854472569,-5.43189794190076,0.0942857164024774,0.346285716378681
450,1,30,30,0,1,72,"NC","Davis Oil","Neck","F","A",9,1,"N",148,0.74468085106383,1,1,-5.34149996439616,-5.91549999089468,0,0.27295238063449
