"Bird.ID","FirstFound","LastPresent","LastChecked","Fate","Freq"
141,1,30,30,0,1
142,1,30,30,0,1
144,1,30,30,0,1
147,1,30,30,0,1
148,1,30,30,0,1
155,1,30,30,0,1
251,1,30,30,0,1
254,1,30,30,0,1
256,1,30,30,0,1
258,1,30,30,0,1
259,1,27,30,1,1
260,1,30,30,0,1
261,1,30,30,0,1
265,1,30,30,0,1
266,1,30,30,0,1
272,1,30,30,0,1
275,1,30,30,0,1
280,1,30,30,0,1
281,1,30,30,0,1
283,1,30,30,0,1
284,1,4,11,1,1
286,1,30,30,0,1
351,1,1,19,1,1
352,1,30,30,0,1
354,1,30,30,0,1
355,1,30,30,0,1
356,1,30,30,0,1
357,1,1,7,1,1
358,1,30,30,0,1
359,1,30,30,0,1
360,1,30,30,0,1
361,1,30,30,0,1
362,1,30,30,0,1
363,1,1,7,1,1
364,1,1,19,1,1
365,1,30,30,0,1
366,1,30,30,0,1
367,1,1,19,1,1
369,1,30,30,0,1
372,1,30,30,0,1
373,1,30,30,0,1
375,1,30,30,0,1
376,1,18,20,1,1
377,1,18,20,1,1
378,1,30,30,0,1
379,1,1,9,1,1
380,1,30,30,0,1
381,1,30,30,0,1
382,1,30,30,0,1
383,1,1,9,1,1
384,1,1,9,1,1
386,1,5,9,1,1
387,1,30,30,0,1
388,1,14,16,1,1
389,1,30,30,0,1
391,1,6,9,1,1
392,1,30,30,0,1
393,1,30,30,0,1
394,1,30,30,0,1
395,1,30,30,0,1
396,1,30,30,0,1
397,1,30,30,0,1
398,1,30,30,0,1
399,1,30,30,0,1
400,1,1,3,1,1
401,1,30,30,0,1
402,1,30,30,0,1
403,1,30,30,0,1
404,1,30,30,0,1
405,1,30,30,0,1
406,1,30,30,0,1
407,1,30,30,0,1
408,1,30,30,0,1
409,1,30,30,0,1
410,1,30,30,0,1
411,1,30,30,0,1
412,1,30,30,0,1
413,1,10,15,1,1
414,1,30,30,0,1
415,1,30,30,0,1
416,1,30,30,0,1
417,1,30,30,0,1
418,1,2,5,1,1
419,1,5,12,1,1
420,1,30,30,0,1
421,1,19,27,1,1
422,1,30,30,0,1
423,1,30,30,0,1
424,1,30,30,0,1
425,1,30,30,0,1
426,1,30,30,0,1
427,1,2,5,1,1
428,1,12,14,1,1
429,1,9,19,1,1
430,1,30,30,0,1
431,1,9,12,1,1
432,1,2,5,1,1
433,1,2,5,1,1
434,1,30,30,0,1
435,1,30,30,0,1
436,1,30,30,0,1
437,1,7,11,1,1
438,1,30,30,0,1
439,1,30,30,0,1
440,1,30,30,0,1
441,1,30,30,0,1
442,1,30,30,0,1
443,1,19,29,1,1
444,1,30,30,0,1
445,1,30,30,0,1
446,1,30,30,0,1
447,1,30,30,0,1
449,1,30,30,0,1
450,1,30,30,0,1
451,1,30,30,0,1
459,1,30,30,0,1
460,1,30,30,0,1
461,1,2,5,1,1
462,1,2,5,1,1
466,1,30,30,0,1
468,1,30,30,0,1
470,1,30,30,0,1
471,1,30,30,0,1
472,1,30,30,0,1
473,1,30,30,0,1
474,1,9,12,1,1
475,1,30,30,0,1
476,1,30,30,0,1
477,1,30,30,0,1
478,1,30,30,0,1
516,1,30,30,0,1
522,1,30,30,0,1
524,1,30,30,0,1
532,1,30,30,0,1
535,1,30,30,0,1
536,1,30,30,0,1
545,1,30,30,0,1
546,1,30,30,0,1
549,1,30,30,0,1
574,1,30,30,0,1
575,1,30,30,0,1
581,1,30,30,0,1
582,1,30,30,0,1
583,1,30,30,0,1
585,1,30,30,0,1
616,1,30,30,0,1
617,1,20,27,1,1
618,1,30,30,0,1
619,1,30,30,0,1
623,1,30,30,0,1
624,1,30,30,0,1
625,1,10,10,1,1
633,1,30,30,0,1
636,1,30,30,0,1
637,1,30,30,0,1
638,1,30,30,0,1
640,1,1,6,1,1
751,1,19,29,1,1
752,1,30,30,0,1
754,1,30,30,0,1
824,1,30,30,0,1
826,1,30,30,0,1
831,1,30,30,0,1
832,1,1,6,1,1
833,1,30,30,0,1
834,1,30,30,0,1
835,1,30,30,0,1
836,1,30,30,0,1
838,1,30,30,0,1
839,1,30,30,0,1
840,1,30,30,0,1
842,1,30,30,0,1
843,1,30,30,0,1
844,1,30,30,0,1
845,1,30,30,0,1
846,1,30,30,0,1
847,1,30,30,0,1
848,1,30,30,0,1
849,1,30,30,0,1
850,1,30,30,0,1
901,1,25,26,1,1
902,1,30,30,0,1
903,1,1,4,1,1
904,1,30,30,0,1
905,1,30,30,0,1
906,1,30,30,0,1
907,1,1,4,1,1
911,1,30,30,0,1
925,1,30,30,0,1
931,1,1,3,1,1
932,1,30,30,0,1
935,1,30,30,0,1
1005,1,6,8,1,1
1006,1,30,30,0,1
