"Bird.ID","FirstFound","LastPresent","LastChecked","Fate","Freq","YearDay","Study.Area","Location","Trans.Type","Sex","TurkAge","Weight","Hematoma","Pat.Tag","HandTime","MG","LPDV","REV","mtCDy","avgmtWk","pcpCDy","avgpcpWk","BodyCon","Year","SexTT"
141,1,30,30,0,1,0.66550672811815,"S","Buckfield","Neck","M","J",0.695471382727668,"0","N",0.991215046827085,0.603055518329908,-1.40710194105557,1.76655000629226,-0.470871530521474,0.941614926553101,-0.381117232698385,-0.718774490427155,1.36877476875443,"2020","M.N"
142,1,30,30,0,1,0.66550672811815,"S","Buckfield","Neck","M","J",0.695471382727668,"0","N",0.991215046827085,0.603055518329908,-1.40710194105557,1.76655000629226,-0.470871530521474,0.941614926553101,-0.381117232698385,-0.718774490427155,0.0626375504368601,"2020","M.N"
144,1,30,30,0,1,0.66550672811815,"S","Buckfield","Neck","M","A",2.2879486397057,"1","N",0.991215046827085,0,0.70781491580371,-0.563792555199657,-0.470871530521474,0.941614926553101,-0.381117232698385,-0.718774490427155,1.57141401269393,"2020","M.N"
147,1,30,30,0,1,0.66550672811815,"S","Buckfield","Neck","M","A",2.72226061888152,"1","N",0.991215046827085,-1.64835175010175,-1.40710194105557,1.76655000629226,-0.470871530521474,0.941614926553101,-0.381117232698385,-0.718774490427155,2.23114272291769,"2020","M.N"
148,1,30,30,0,1,0.66550672811815,"S","Buckfield","Neck","M","A",1.99840732025515,"0","N",0.991215046827085,-1.64835175010175,0.70781491580371,1.76655000629226,-0.470871530521474,0.941614926553101,-0.381117232698385,-0.718774490427155,0.413219402470083,"2020","M.N"
155,1,30,30,0,1,0.113312569450016,"NC","Newburgh","Neck","M","A",2.57748995915625,"0","N",-0.0247142608729025,-1.64835175010175,-1.40710194105557,1.76655000629226,-0.685046158099437,-1.14372270319022,3.8315296973922,-0.496970813605702,0.899787127259125,"2020","M.N"
251,1,30,30,0,1,0.0212802096719933,"NE","Madden","Back","F","A",-0.231060839514095,"0","Y",0.0227544580956614,0.603055518329908,0.70781491580371,-0.563792555199657,-0.248061827766589,0.378693470503859,-0.381117232698385,0.0150151111064491,-0.241415138166672,"2018","F.B"
254,1,30,30,0,1,1.44778178623134,"NW","Bradford","Back","F","J",-0.897005874250363,"1","N",1.27874220938368,0.603055518329908,0.70781491580371,-0.563792555199657,-0.430455372797997,0.492554696010737,-0.381117232698385,-1.09856546604154,0.182860459583615,"2018","F.B"
256,1,30,30,0,1,1.44778178623134,"NW","Bradford","Back","F","J",-0.969391204113001,"1","N",1.60460632694783,0.603055518329908,-1.40710194105557,-0.563792555199657,-0.430455372797997,0.492554696010737,-0.381117232698385,-1.09856546604154,-0.253628630033072,"2018","F.B"
258,1,30,30,0,1,1.44778178623134,"NW","Bradford","Back","F","J",-1.04177653397564,"1","N",0.607845496751618,0.603055518329908,-1.40710194105557,-0.563792555199657,-0.430455372797997,0.492554696010737,-0.381117232698385,-1.09856546604154,0.289485194088417,"2018","F.B"
259,1,27,30,1,1,0.113312569450016,"NW","Sanborn","Back","F","A",-0.173152575623985,"0","Y",0.0227544580956614,0.603055518329908,0.70781491580371,-0.563792555199657,-0.579114218210045,0.586829055685262,-0.308324769695669,-0.743999764394158,-0.283860133632915,"2018","F.B"
260,1,30,30,0,1,1.44778178623134,"NW","Bradford","Back","F","J",-0.752235214525087,"0","N",3.52145407732517,-1.64835175010175,0.70781491580371,-0.563792555199657,-0.430455372797997,0.492554696010737,-0.381117232698385,-1.09856546604154,0.663997473321717,"2018","F.B"
261,1,30,30,0,1,1.44778178623134,"NW","Bradford","Back","F","A",-0.607464554799812,"0","N",1.75795414697802,0.603055518329908,0.70781491580371,-0.563792555199657,-0.430455372797997,0.492554696010737,-0.381117232698385,-1.09856546604154,-0.614083513410015,"2018","F.B"
265,1,30,30,0,1,1.44778178623134,"NW","Bradford","Back","F","A",-0.317923235349261,"1","N",-0.254735990918183,0.603055518329908,0.70781491580371,-0.563792555199657,-0.430455372797997,0.492554696010737,-0.381117232698385,-1.09856546604154,-0.174264373260837,"2018","F.B"
266,1,30,30,0,1,0.113312569450016,"NW","Sanborn","Back","F","A",-0.752235214525087,"0","Y",0.0227544580956614,0.603055518329908,0.70781491580371,-0.563792555199657,-0.579114218210045,0.586829055685262,-0.308324769695669,-0.743999764394158,-0.902270970267759,"2018","F.B"
272,1,30,30,0,1,0.113312569450016,"NW","Sanborn","Back","F","A",-0.317923235349261,"0","Y",0.0227544580956614,0,0.70781491580371,-0.563792555199657,-0.579114218210045,0.586829055685262,-0.308324769695669,-0.743999764394158,-0.634383425539262,"2018","F.B"
275,1,30,30,0,1,0.113312569450016,"NW","Sanborn","Back","F","A",-0.173152575623985,"0","Y",0.0227544580956614,0.603055518329908,0.70781491580371,-0.563792555199657,-0.579114218210045,0.586829055685262,-0.308324769695669,-0.743999764394158,-0.283860133632915,"2018","F.B"
280,1,30,30,0,1,0.113312569450016,"NW","Sanborn","Back","F","A",0.0440034139639278,"0","Y",0.0227544580956614,0.603055518329908,0.70781491580371,-0.563792555199657,-0.579114218210045,0.586829055685262,-0.308324769695669,-0.743999764394158,-0.607064387679816,"2018","F.B"
281,1,30,30,0,1,0.113312569450016,"NW","Sanborn","Back","F","A",-0.462693895074536,"0","Y",0.0227544580956614,0,0,0,-0.579114218210045,0.586829055685262,-0.308324769695669,-0.743999764394158,-0.397144969202705,"2018","F.B"
